,Vo_tot,Rn_tot,Isw,Ro_tot,RoFF,N,Npar,dsgn,Ajj,status,Rn,Ro,Ec,Ej,Iab,wp
D055B1N9,0.000219,121000,1.54E-10,905000,666800000,20,2,Fin,4E-14,measd_lv,6050,45250,0.185924878,1.119977183,4.69847E-08,1.290679266
D059B6N3,0.0001955,90800,1.975E-09,72600,25910000,20,2,Fin,4E-14,measd_lv,4540,3630,0.185924878,1.492480608,6.26118E-08,1.489937649
D059B0N1,0.00000032,9400,3.9E-09,99.7,1650000000,2,2,Fin,4E-14,measd_lv,4700,49.85,0.185924878,1.441672757,6.04803E-08,1.464357419
D059BBN2,0.001385,1750000,3.2E-13,236700000,903200000,20,2,Fin,4E-14,fabd,87500,11835000,0.185924878,0.077438422,3.24866E-09,0.339384493
D062B3N2,0.002495,993000,2.1E-11,4319000,893100000,20,2,Fin,4E-14,fabd,49650,215950,0.185924878,0.136472547,5.72523E-09,0.450543153
D060B2N6,0.003345,664000,1.2E-12,22920000,958700000,20,2,Fin,4E-14,fabd,33200,1146000,0.185924878,0.204092228,8.56198E-09,0.550968765
D060B2N2,0.0003186,119000,2.68E-12,29090000,920900000,4,2,Fin,4E-14,fabd,29750,7272500,0.185924878,0.227760066,9.55488E-09,0.582039603
D063BAN6_b,0.00501,594000,2E-11,7715000,935000000,30,2,x_s,4E-14,fabd,19800,257166.6667,0.185924878,0.34221525,1.43564E-08,0.713449808
D063BAN6_a,0.00307,585000,2.2E-11,265000,13800000,30,2,x_s,4E-12,fabd,19500,8833.333333,0.002267377,0.3474801,1.45773E-08,0.079391094
D066B8N5_b,0.00172,66100,5.4E-09,851,146300000,30,2,x_s,4E-14,fabd,2203.333333,28.36666667,0.185924878,3.075277742,1.29013E-07,2.138729788
D070B1N0,,168000,1.6E-10,23730,,15,2,x_L,4E-12,measd,11200,1582,0.002267377,0.604987675,2.53801E-08,0.104756284
D079N6,0.0001645,1450,0.000000137,2.2,,1,2,x_L,3.74E-12,measd,1450,2.2,0.002422982,4.673008247,1.9604E-07,0.300966641
D079N5,0.002021,23300,5.6E-09,307,,15,2,x_L,3.74E-12,fabd,1553.333333,20.46666667,0.002422982,4.362142891,1.82998E-07,0.290783682
D074N4,0.001972,13500,0.000000009,1,,9,2,x_L,2.25E-12,measd,1500,0.111111111,0.003998384,4.517241305,1.89505E-07,0.380122796
D078N0,0.001931,254000,3.71E-11,10000,,15,2,x_L,4E-12,measd,16933.33333,666.6666667,0.002267377,0.400149328,1.67869E-08,0.085195737
D078N5,0.00009685,16700,8E-10,100000,,1,2,x_L,4E-12,measd,16700,100000,0.002267377,0.405740237,1.70214E-08,0.085788853
D059BBN1,1E-99,745000,6E-13,240000000,,20,2,x_L,4E-12,fabd,37250,12000000,0.002267377,0.181902334,7.63108E-09,0.057441524
D059BBN2_n,1E-99,1950000,,,,20,2,x_L,2.25E-14,fabd,97500,,0.309874796,0.06949602,2.91546E-09,0.415066887
D059BBN8,1E-99,1780000,7.5E-13,50000000,,20,2,x_L,4E-12,fabd,89000,2500000,0.002267377,0.07613328,3.19391E-09,0.037161573
D053N2,0.00161,8900,9.06E-08,734,,20,2,Fin,4E-14,measd_lv,445,36.7,0.185924878,15.22665609,6.38781E-07,4.759003402
D053N4,0.000353,5300,0.00000002,17700,,20,2,Fin,4E-14,measd_lv,265,885,0.185924878,25.56929041,1.07267E-06,6.166987722
D053N7,0.000333,10000,0.00000001,33300,,20,2,Fin,4E-14,measd_lv,500,1665,0.185924878,13.55172392,5.68515E-07,4.48963483
D055B1N2,0.000219,80100,1.1E-10,558000,,20,2,Fin,4E-14,measd_lv,4005,27900,0.185924878,1.691850676,7.09757E-08,1.586334467
D055B1N4,0.00045,157900,6.4E-11,3588000,,20,2,Fin,4E-14,measd_lv,7895,179400,0.185924878,0.85824724,3.60048E-08,1.129847824
D055B1N5,0.000103,108700,5.9E-11,1282000,,20,2,Fin,4E-14,measd_lv,5435,64100,0.185924878,1.246708732,5.23013E-08,1.361746434
D057B1N6,0.0000968,92400,7E-10,114.5,,20,2,Fin,4E-14,measd_lv,4620,5.725,0.185924878,1.466636787,6.15276E-08,1.476981423
D057B1N7,0.000068,,7E-10,123500,,20,2,Fin,4E-14,measd_lv,,6175,0.185924878,,,
D057B1N8,0.0003065,157900,2.55E-09,112200,,20,2,Fin,4E-14,measd_lv,7895,5610,0.185924878,0.85824724,3.60048E-08,1.129847824
D057B1N9,0.0001345,,5.75E-10,206000,,20,2,Fin,4E-14,measd_lv,,10300,0.185924878,,,
D059B6N5,0.000133,86200,1.45E-09,80350,,20,2,Fin,4E-14,measd_lv,4310,4017.5,0.185924878,1.572125744,6.5953E-08,1.529175692
D059B6N7,0.0001732,78000,1.8E-09,80900,,20,2,Fin,4E-14,measd_lv,3900,4045,0.185924878,1.737400502,7.28866E-08,1.60754714
D059B6N8,0.0001624,88100,1.575E-09,65900,,20,2,Fin,4E-14,measd_lv,4405,3295,0.185924878,1.538220649,6.45307E-08,1.512596407
D055BCN4,0.000584,308000,7.5E-11,9900000,,20,2,Fin,4E-14,measd_lv,15400,495000,0.185924878,0.439991036,1.84583E-08,0.808976042
D055BCN5,0.000589,403000,4.2E-11,19210000,,20,2,Fin,4E-14,measd_lv,20150,960500,0.185924878,0.336271065,1.41071E-08,0.707226451
D055BCN7,0.0005687,345000,3.6E-11,30130000,,20,2,Fin,4E-14,measd_lv,17250,1506500,0.185924878,0.392803592,1.64787E-08,0.764366194
D059B0N7,0,7852,2.06E-09,1,,2,2,Squ,3.6E-13,measd_lv,3926,1,0.023836523,1.725894538,7.24039E-08,0.573685102
