,Device,THK,$w_{re}$,$l_{re}$,$R$,$T_C$,$I_C$,dose,$R_{af}$,$R_{co}$,"$T_{C,af}$"
ALOX06,ALOX06,1.5e-07,5e-06,5.27e-05,13491,1.39,5.65e-06,,,,
ALOX05B_10um,ALOX05B_10um,3.5e-08,9.97e-06,3.54e-05,4261,1.7,4.1e-07,,,,
ALOX05B_2um,ALOX05B_2um,2.8e-08,1.94e-06,1.7e-05,13144,1.7,3.3e-06,,,,
ALOX05B_.5um,ALOX05B_.5um,2e-08,8e-07,1.7e-05,105187,1.75,1.25e-05,,,,
ALOX03,ALOX03,1.4e-07,5e-06,1.8e-05,3124,1.2,4.6e-06,,,,
ALOX07_10um,ALOX07_10um,4e-08,1e-05,1.8e-05,1391,1.73,1.45e-05,,,,
Q1D066B8,Q1D066B8,4e-08,7e-07,1.8e-05,29250,1.8,1.25e-05,,,,
Q1D067B8,Q1D067B8,4e-08,7e-07,1.8e-05,24557,2.0,1.25e-05,,,,
D335bN8_Up,D335bN8_Up,4e-08,6.5e-07,1.6e-05,5700,2.03,,1000000000000.0,7329,3300,
D335bN8_Mid,D335bN8_Mid,4e-08,6.5e-07,1.6e-05,5800,1.95,,1e+16,417,4700,
D335bN8_Dow,D335bN8_Dow,4e-08,6.5e-07,1.6e-05,5600,1.85,,5e+16,4892,5900,
D276bN8_Up,D276bN8_Up,4e-08,6.5e-07,1.6e-05,,,,1000000000000.0,3969,,
D276bN8_Mid,D276bN8_Mid,4e-08,6.5e-07,1.6e-05,3500,2.02,,1e+16,447,,
D276bN8_Dow,D276bN8_Dow,4e-08,6.5e-07,1.6e-05,3400,1.95,,5e+16,2849,,
D06N5_Mid,D06N5_Mid,5.5e-08,7.05e-06,1.18e-05,1400,1.87,,,,,
D06N7_Mid,D06N7_Mid,2.3e-08,4.7e-07,1.64e-05,78900,,,,,,
SiOx003N8_Mid,SiOx003N8_Mid,4.4e-08,1.48e-06,1.59e-05,53.72,,,5e+16,47.9,,
SiOx003N4_Mid,SiOx003N4_Mid,4.8e-08,2.95e-06,1.23e-05,17.98,,,1e+17,18.6,,
SiOx002N3_Mid,SiOx002N3_Mid,4e-08,1.51e-06,1.79e-05,52.81,,,,,,
SiOx002N4_Mid,SiOx002N4_Mid,4.8e-08,3.06e-06,1.22e-05,18,1.42,,,,,
SiOx002N6_Mid,SiOx002N6_Mid,5.5e-08,1.23e-05,1.19e-05,2.91,1.43,,,,,
